country,indice_name
argentina,S&P Merval
australia,S&P-ASX 200
austria,ATX
bahrain,Bahrain All Share
bangladesh,DSE 30
belgium,BEL 20
bosnia,BIRS
bosnia,Sarajevo 10
botswana,BSE Domestic Company
brazil,Bovespa
bulgaria,BSE SOFIX
canada,S&P-TSX
chile,S&P CLX IPSA
china,Shanghai
china,SZSE Component
colombia,COLCAP
croatia,CROBEX
cyprus,Cyprus Main Market
czech republic,PX
denmark,OMXC20
dubai,DFM General
dubai,ADX General
ecuador,Guayaquil Select
egypt,EGX 30
finland,OMX Helsinki 25
france,CAC 40
germany,DAX
germany,Euro Stoxx 50
greece,Athens General Composite
hong kong,Hang Seng
hungary,Budapest SE
iceland,ICEX Main
india,BSE Sensex
india,Nifty 50
indonesia,IDX Composite
iraq,ISX Main 60
ireland,ISEQ Overall
israel,TA 35
italy,FTSE MIB
ivory coast,BRVM 10
jamaica,JSE Market
japan,Nikkei 225
jordan,Amman SE General
kazakhstan,KASE
kenya,Kenya NSE 20
lebanon,BLOM Stock
malaysia,KLCI
malta,MSE
mauritius,Semdex
mexico,FTSE BIVA Real Time Price
mexico,S&P-BMV IPC
mongolia,MNE Top 20
montenegro,MNSE 10
morocco,Moroccan All Shares
namibia,NSX
netherlands,AEX
new zealand,NZX MidCap
new zealand,NZX 50
nigeria,NSE 30
norway,OSE Benchmark
norway,Oslo OBX
oman,MSM 30
pakistan,Karachi 100
palestine,Al-Quds
peru,S&P Lima General
philippines,PSEi Composite
poland,WIG30
poland,WIG20
portugal,PSI 20
qatar,QE General
romania,BET
russia,RTSI
russia,MOEX
rwanda,Rwanda All Share
saudi arabia,Tadawul All Share
serbia,Belex 15
singapore,STI Index
slovakia,SAX
slovenia,Blue-Chip SBITOP
south africa,FTSE-JSE Top 40
south africa,South Africa 40
south korea,KOSPI 50
south korea,KOSPI
spain,IBEX 35
sri lanka,CSE All-Share
sweden,OMXS30
switzerland,SMI
taiwan,TPEx 50
taiwan,Taiwan Weighted
tanzania,Tanzania All Share
thailand,SET
tunisia,Tunindex20
tunisia,Tunindex
turkey,BIST 100
uganda,Uganda All Share
ukraine,PFTS
united kingdom,FTSE 100
united states,Dow 30
united states,Nasdaq 100
united states,Nasdaq
united states,S&P 500
venezuela,Bursatil
vietnam,VN 30
vietnam,HNX 30
zambia,LSE All Share
