name,currency
S&P Merval,ARS
S&P/ASX 200,AUD
ATX,EUR
Bahrain All Share,BHD
DSE 30,BDT
BEL 20,EUR
BIRS,BAM
Sarajevo 10,BAM
BSE Domestic Company,BWP
Bovespa,BRL
BSE SOFIX,BGN
S&P/TSX,CAD
S&P CLX IPSA,CLP
Shanghai,CNY
SZSE Component,CNY
COLCAP,COP
CROBEX,HRK
Cyprus Main Market,EUR
PX,CZK
OMXC20,DKK
DFM General,AED
ADX General,AED
Guayaquil Select,USD
EGX 30,EGP
OMX Helsinki 25,EUR
CAC 40,EUR
DAX,EUR
Euro Stoxx 50,EUR
Athens General Composite,EUR
Hang Seng,HKD
Budapest SE,HUF
ICEX Main,ISK
BSE Sensex,INR
Nifty 50,INR
IDX Composite,IDR
ISX Main 60,IQD
ISEQ Overall,EUR
TA 35,ILS
FTSE MIB,EUR
BRVM 10,XOF
JSE Market,JMD
Nikkei 225,JPY
Amman SE General,JOD
KASE,KZT
Kenya NSE 20,KES
BLOM Stock,USD
KLCI,MYR
MSE,EUR
Semdex,MUR
FTSE BIVA Real Time Price,MXN
S&P/BMV IPC,MXN
MNE Top 20,MNT
MNSE 10,EUR
Moroccan All Shares,MAD
NSX,NAD
AEX,EUR
NZX MidCap,NZD
NZX 50,NZD
NSE 30,NGN
OSE Benchmark,NOK
Oslo OBX,NOK
MSM 30,OMR
Karachi 100,PKR
Al-Quds,JOD
S&P Lima General,PEN
PSEi Composite,PHP
WIG30,PLN
WIG20,PLN
PSI 20,EUR
QE General,QAR
BET,RON
RTSI,USD
MOEX,RUB
Rwanda All Share,RWF
Tadawul All Share,SAR
Belex 15,RSD
STI Index,SGD
SAX,EUR
Blue-Chip SBITOP,EUR
FTSE/JSE Top 40,ZAR
South Africa 40,ZAR
KOSPI 50,KRW
KOSPI,KRW
IBEX 35,EUR
CSE All-Share,LKR
OMXS30,SEK
SMI,CHF
TPEx 50,TWD
Taiwan Weighted,TWD
Tanzania All Share,TZS
SET,THB
Tunindex20,TND
Tunindex,TND
BIST 100,TRY
Uganda All Share,UGX
PFTS,UAH
FTSE 100,GBP
Dow 30,USD
Nasdaq 100,USD
Nasdaq,USD
S&P 500,USD
Bursatil,VES
VN 30,VND
HNX 30,VND
LSE All Share,ZMW
